"Country or Area","Year","Item","Value"
"Canada","2021","Gross Domestic Product (GDP)","52112.0614958113"
"Canada","2020","Gross Domestic Product (GDP)","43427.8080385266"
"Canada","2019","Gross Domestic Product (GDP)","46411.963246769"
"Canada","2018","Gross Domestic Product (GDP)","46493.6911961323"
"Canada","2017","Gross Domestic Product (GDP)","45125.1098082187"
"Canada","2016","Gross Domestic Product (GDP)","42317.7861129982"
"Canada","2015","Gross Domestic Product (GDP)","43549.8504235999"
"Canada","2014","Gross Domestic Product (GDP)","50940.6604337491"
"Canada","2013","Gross Domestic Product (GDP)","52681.4641397617"
"Canada","2012","Gross Domestic Product (GDP)","52712.2033030208"
"Canada","2011","Gross Domestic Product (GDP)","52233.3415561157"
"Canada","2010","Gross Domestic Product (GDP)","47617.91113651"
"Canada","2009","Gross Domestic Product (GDP)","40918.8506604706"
"Canada","2008","Gross Domestic Product (GDP)","46748.9650179427"
"Canada","2007","Gross Domestic Product (GDP)","44696.0611916292"
"Canada","2006","Gross Domestic Product (GDP)","40555.1239799877"
"Canada","2005","Gross Domestic Product (GDP)","36415.482488109"
"Canada","2004","Gross Domestic Product (GDP)","32172.5737881727"
"Canada","2003","Gross Domestic Product (GDP)","28323.5511575873"
"Canada","2002","Gross Domestic Product (GDP)","24284.376581197"
"Canada","2001","Gross Domestic Product (GDP)","23836.7672556006"
"Canada","2000","Gross Domestic Product (GDP)","24272.9260624572"
"Canada","1999","Gross Domestic Product (GDP)","22316.0993933454"
"Canada","1998","Gross Domestic Product (GDP)","21032.5360220862"
"Canada","1997","Gross Domestic Product (GDP)","21919.0489760861"
"Canada","1996","Gross Domestic Product (GDP)","21309.2470687549"
"Canada","1995","Gross Domestic Product (GDP)","20688.1187552833"
"Canada","1994","Gross Domestic Product (GDP)","20010.4994942287"
"Canada","1993","Gross Domestic Product (GDP)","20198.8908919601"
"Canada","1992","Gross Domestic Product (GDP)","20967.3554365325"
"Canada","1991","Gross Domestic Product (GDP)","21863.3647650826"
"Canada","1990","Gross Domestic Product (GDP)","21552.7340805461"
"Canada","1989","Gross Domestic Product (GDP)","20819.5394486805"
"Canada","1988","Gross Domestic Product (GDP)","18995.9113477643"
"Canada","1987","Gross Domestic Product (GDP)","16383.8097738405"
"Canada","1986","Gross Domestic Product (GDP)","14512.3987854036"
"Canada","1985","Gross Domestic Product (GDP)","14169.3076660133"
"Canada","1984","Gross Domestic Product (GDP)","13933.5417806369"
"Canada","1983","Gross Domestic Product (GDP)","13479.9632395921"
"Canada","1982","Gross Domestic Product (GDP)","12534.672458494"
"Canada","1981","Gross Domestic Product (GDP)","12381.0105127445"
"Canada","1980","Gross Domestic Product (GDP)","11261.5235851016"
"Canada","1979","Gross Domestic Product (GDP)","10136.2004212476"
"Canada","1978","Gross Domestic Product (GDP)","9221.01802367527"
"Canada","1977","Gross Domestic Product (GDP)","9023.73514830062"
"Canada","1976","Gross Domestic Product (GDP)","8912.45352464153"
"Canada","1975","Gross Domestic Product (GDP)","7565.68429230391"
"Canada","1974","Gross Domestic Product (GDP)","7095.32236967265"
"Canada","1973","Gross Domestic Product (GDP)","5913.64054579913"
"Canada","1972","Gross Domestic Product (GDP)","5165.07537765874"
"Canada","1971","Gross Domestic Product (GDP)","4604.26069168109"
"Canada","1970","Gross Domestic Product (GDP)","4162.82115144584"
"Netherlands","2021","Gross Domestic Product (GDP)","57871.3492096268"
"Netherlands","2020","Gross Domestic Product (GDP)","52183.3429241409"
"Netherlands","2019","Gross Domestic Product (GDP)","52420.6999565304"
"Netherlands","2018","Gross Domestic Product (GDP)","52877.543522086"
"Netherlands","2017","Gross Domestic Product (GDP)","48460.5129601612"
"Netherlands","2016","Gross Domestic Product (GDP)","45754.7930118019"
"Netherlands","2015","Gross Domestic Product (GDP)","44906.9975196446"
"Netherlands","2014","Gross Domestic Product (GDP)","52552.6161564085"
"Netherlands","2013","Gross Domestic Product (GDP)","51989.4005206274"
"Netherlands","2012","Gross Domestic Product (GDP)","49982.5059411159"
"Netherlands","2011","Gross Domestic Product (GDP)","54132.1136721373"
"Netherlands","2010","Gross Domestic Product (GDP)","50944.7514229504"
"Netherlands","2009","Gross Domestic Product (GDP)","52492.382474924"
"Netherlands","2008","Gross Domestic Product (GDP)","57593.4645617268"
"Netherlands","2007","Gross Domestic Product (GDP)","51700.6912605717"
"Netherlands","2006","Gross Domestic Product (GDP)","44917.175283055"
"Netherlands","2005","Gross Domestic Product (GDP)","42127.8274633024"
"Netherlands","2004","Gross Domestic Product (GDP)","40577.8421375423"
"Netherlands","2003","Gross Domestic Product (GDP)","35886.9738630669"
"Netherlands","2002","Gross Domestic Product (GDP)","29372.500692094"
"Netherlands","2001","Gross Domestic Product (GDP)","26981.5658497185"
"Netherlands","2000","Gross Domestic Product (GDP)","26192.7750370848"
"Netherlands","1999","Gross Domestic Product (GDP)","28261.5622571451"
"Netherlands","1998","Gross Domestic Product (GDP)","27859.1777558115"
"Netherlands","1997","Gross Domestic Product (GDP)","26666.2077082255"
"Netherlands","1996","Gross Domestic Product (GDP)","28990.6473982274"
"Netherlands","1995","Gross Domestic Product (GDP)","29280.5533227505"
"Netherlands","1994","Gross Domestic Product (GDP)","24700.5447836083"
"Netherlands","1993","Gross Domestic Product (GDP)","23181.7374509353"
"Netherlands","1992","Gross Domestic Product (GDP)","23958.1461271737"
"Netherlands","1991","Gross Domestic Product (GDP)","21765.3042603001"
"Netherlands","1990","Gross Domestic Product (GDP)","21300.5905907075"
"Netherlands","1989","Gross Domestic Product (GDP)","17395.2668543207"
"Netherlands","1988","Gross Domestic Product (GDP)","17741.1474101487"
