Region,Market,Chart,Name,Unit,Source,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Netherlands,Recreational Cannabis,Average price per gram,Recreational Cannabis,USD (US$),Statista Market Insights,,,,,,,10.77,11.34,11.97,12.34,12.67,12.98,13.24
Netherlands,Recreational Cannabis,Revenue ,Total,million USD (US$),Statista Market Insights,27.63,35.71,46.45,59.47,75.79,98.08,124.30,151.60,180.50,211.20,243.80,277.90,312.10
Netherlands,Recreational Cannabis,Revenue Growth ,Total,percent,Statista Market Insights,,29.24,30.08,28.03,27.44,29.41,26.73,21.96,19.06,17.01,15.44,13.99,12.31
Netherlands,Recreational Cannabis,Average Revenue per User ,Total,USD (US$),Statista Market Insights,104.70,104.80,105.50,104.60,103.20,103.40,107.30,111.00,115.10,119.50,124.20,129.00,133.00
Netherlands,Recreational Cannabis,Users ,Total,million users,Statista Market Insights,0.26,0.34,0.44,0.57,0.73,0.95,1.16,1.37,1.57,1.77,1.96,2.15,2.35
Netherlands,Recreational Cannabis,Penetration Rate ,Total,percent,Statista Market Insights,1.54,1.98,2.55,3.28,4.21,5.42,6.60,7.75,8.87,9.97,11.04,12.09,13.13
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Aurora Cannabis,million USD (US$),Statista Company Insights,,,42.60,,,176.50,,,,,,,
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Canopy Growth,million USD (US$),Statista Company Insights,,,,300.60,407.60,415.00,,,,,,,
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Curaleaf Holdings,million USD (US$),Statista Company Insights,,,77.06,221.00,626.60,1210.00,,,,,,,
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Green Thumb Industries,million USD (US$),Statista Company Insights,,,62.49,216.40,556.60,893.60,1017.00,,,,,,
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Tilray,million USD (US$),Statista Company Insights,,,167.00,405.30,513.10,628.40,,,,,,,
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Trulieve Cannabis,million USD (US$),Statista Company Insights,,,,252.80,521.50,938.40,1243.00,,,,,,
Netherlands,Cannabis,Top Company Revenues (Worldwide & Consolidated),Verano Holdings,million USD (US$),Statista Company Insights,,,,,,737.90,879.40,,,,,,
Netherlands,Cannabis,Revenue ,Total,million USD (US$),Statista Market Insights,296.50,369.40,464.20,571.70,700.10,874.30,1080.00,1297.00,1528.00,1777.00,2045.00,2326.00,2608.00
Netherlands,Cannabis,Revenue ,Medical Cannabis,million USD (US$),Statista Market Insights,1.74,2.11,2.60,3.11,3.69,4.49,5.42,6.38,7.37,8.41,9.50,10.62,11.73
Netherlands,Cannabis,Revenue ,Recreational Cannabis,million USD (US$),Statista Market Insights,27.63,35.71,46.45,59.47,75.79,98.08,124.30,151.60,180.50,211.20,243.80,277.90,312.10
Netherlands,Cannabis,Revenue ,Therapeutic Cannabis,million USD (US$),Statista Market Insights,267.10,331.60,415.10,509.10,620.60,771.80,950.40,1139.00,1341.00,1558.00,1791.00,2038.00,2284.00
Netherlands,Cannabis,Revenue Growth ,Total,percent,Statista Market Insights,,24.59,25.66,23.16,22.46,24.88,23.53,20.09,17.81,16.30,15.08,13.74,12.12
Netherlands,Cannabis,Revenue Growth ,Medical Cannabis,percent,Statista Market Insights,,21.49,22.75,19.65,18.81,21.71,20.80,17.53,15.61,14.13,12.98,11.75,10.45
Netherlands,Cannabis,Revenue Growth ,Recreational Cannabis,percent,Statista Market Insights,,29.24,30.08,28.03,27.44,29.41,26.73,21.96,19.06,17.01,15.44,13.99,12.31
